ano,data_dados,id_estacao,precipitacao_total,temperatura_max,temperatura_min
2023,2023-11-26,A621,0.0,19.7,19.4
2023,2023-11-26,A621,0.0,19.7,19.4
2023,2023-11-26,A621,0.0,19.7,19.4
2023,2023-11-26,A621,0.0,25.6,24.4
2023,2023-11-26,A621,0.0,25.9,25.4
2023,2023-11-26,A621,0.0,26.9,25.9
2023,2023-11-26,A621,0.0,27.1,26.1
2023,2023-11-26,A621,0.0,24.5,21.8
2023,2023-11-26,A621,0.0,26.1,24.8
2023,2023-11-26,A621,0.0,26.9,25.8
2023,2023-11-25,A621,0.0,21.1,20.5
2023,2023-11-25,A621,0.0,20.8,20.5
2023,2023-11-25,A621,0.0,21.9,21.2
2023,2023-11-25,A621,0.0,21.0,19.7
2023,2023-11-25,A621,0.0,22.8,21.4
2023,2023-11-25,A621,0.0,25.7,24.4
2023,2023-11-25,A621,0.0,27.0,25.9
2023,2023-11-25,A621,0.0,21.4,21.1
2023,2023-11-25,A621,0.0,21.4,21.1
2023,2023-11-25,A621,0.0,20.8,20.6
2023,2023-11-25,A621,0.0,21.0,20.6
2023,2023-11-25,A621,0.0,27.5,25.6
2023,2023-11-25,A621,0.0,27.0,25.6
2023,2023-11-25,A621,0.0,20.8,20.3
2023,2023-11-25,A621,0.0,22.0,21.3
2023,2023-11-25,A621,0.0,23.0,22.3
2023,2023-11-25,A621,0.0,25.2,23.3
2023,2023-11-25,A621,0.0,24.9,24.3
2023,2023-11-25,A621,0.0,21.3,20.8
2023,2023-11-25,A621,0.0,23.3,20.8
2023,2023-11-25,A621,0.0,21.4,20.8
2023,2023-11-25,A621,0.4,24.4,20.8
2023,2023-11-25,A621,0.0,25.7,24.8
2023,2023-11-25,A621,0.0,27.4,25.8
2023,2023-11-24,A621,0.4,24.3,24.0
2023,2023-11-24,A621,0.0,24.3,24.0
2023,2023-11-24,A621,2.2,23.4,22.5
2023,2023-11-24,A621,0.0,25.4,24.5
2023,2023-11-24,A621,1.6,24.8,24.2
2023,2023-11-24,A621,0.0,25.6,24.2
2023,2023-11-24,A621,0.0,25.0,24.7
2023,2023-11-24,A621,0.0,24.9,24.7
2023,2023-11-24,A621,0.4,25.2,24.7
2023,2023-11-24,A621,1.0,23.1,22.4
2023,2023-11-24,A621,0.0,23.1,22.9
2023,2023-11-24,A621,0.0,24.4,23.9
2023,2023-11-24,A621,0.2,24.2,23.9
2023,2023-11-24,A621,0.4,24.1,23.1
2023,2023-11-24,A621,0.2,23.1,22.6
2023,2023-11-24,A621,0.0,24.4,23.6
2023,2023-11-24,A621,0.0,24.5,23.6
2023,2023-11-24,A621,0.0,24.3,23.6
2023,2023-11-24,A621,0.0,25.4,24.6
2023,2023-11-24,A621,0.0,24.8,24.6
2023,2023-11-24,A621,0.6,24.9,24.6
2023,2023-11-24,A621,0.2,24.8,24.3
2023,2023-11-24,A621,0.0,25.3,24.8
2023,2023-11-24,A621,0.0,25.2,24.8
2023,2023-11-23,A621,0.0,30.2,28.3
2023,2023-11-23,A621,0.0,32.2,31.4
2023,2023-11-23,A621,0.0,30.6,29.0
2023,2023-11-23,A621,0.0,33.4,31.9
2023,2023-11-23,A621,0.0,33.2,30.2
2023,2023-11-23,A621,0.0,34.6,33.3
2023,2023-11-23,A621,0.0,28.9,27.6
2023,2023-11-23,A621,0.0,30.7,28.5
2023,2023-11-23,A621,0.0,31.8,29.9
2023,2023-11-23,A621,0.0,34.2,32.8
2023,2023-11-23,A621,0.0,29.4,28.7
2023,2023-11-23,A621,0.0,24.3,24.0
2023,2023-11-23,A621,0.0,24.5,24.2
2023,2023-11-23,A621,0.0,27.6,25.2
2023,2023-11-23,A621,0.0,26.9,25.7
2023,2023-11-23,A621,0.0,25.3,24.4
2023,2023-11-23,A621,1.4,31.0,26.4
2023,2023-11-23,A621,0.0,25.4,24.9
2023,2023-11-23,A621,1.8,25.8,24.9
2023,2023-11-23,A621,0.0,25.2,24.1
2023,2023-11-23,A621,0.8,27.5,25.1
2023,2023-11-23,A621,0.0,28.5,27.3
2023,2023-11-23,A621,0.0,25.3,24.8
2023,2023-11-23,A621,0.2,26.0,24.8
2023,2023-11-22,A621,0.0,33.3,31.4
2023,2023-11-22,A621,0.0,35.5,34.3
2023,2023-11-22,A621,0.0,36.1,33.5
2023,2023-11-22,A621,0.0,33.5,32.0
2023,2023-11-22,A621,0.0,29.5,27.6
2023,2023-11-22,A621,0.0,34.8,33.1
2023,2023-11-22,A621,0.0,37.5,36.8
2023,2023-11-22,A621,0.0,31.4,29.4
2023,2023-11-22,A621,0.0,36.9,36.0
2023,2023-11-22,A621,0.0,32.3,28.8
2023,2023-11-22,A621,0.0,37.7,36.9
2023,2023-11-22,A621,0.0,37.4,36.2
2023,2023-11-22,A621,0.0,36.5,35.2
2023,2023-11-22,A621,0.0,25.7,25.5
2023,2023-11-22,A621,0.0,26.0,25.5
2023,2023-11-22,A621,0.0,25.8,25.2
2023,2023-11-22,A621,0.0,25.5,25.2
2023,2023-11-22,A621,0.0,25.9,25.4
2023,2023-11-22,A621,0.0,26.1,25.4
2023,2023-11-22,A621,0.0,27.8,25.4
2023,2023-11-22,A621,0.0,26.2,25.1
2023,2023-11-22,A621,0.0,25.8,24.6
2023,2023-11-22,A621,0.0,24.6,23.8
2023,2023-11-22,A621,0.0,25.4,23.8
2023,2023-11-21,A621,0.0,31.9,30.7
2023,2023-11-21,A621,0.0,30.8,29.7
2023,2023-11-21,A621,0.0,31.4,30.6
2023,2023-11-21,A621,0.0,29.7,27.8
2023,2023-11-21,A621,0.0,31.3,29.1
2023,2023-11-21,A621,0.0,30.0,28.3
2023,2023-11-21,A621,0.0,31.3,30.3
2023,2023-11-21,A621,0.0,31.9,31.1
2023,2023-11-21,A621,0.0,22.5,22.0
2023,2023-11-21,A621,0.0,22.4,22.0
2023,2023-11-21,A621,0.2,22.3,22.2
2023,2023-11-21,A621,0.0,22.5,22.2
2023,2023-11-21,A621,0.0,22.8,22.2
2023,2023-11-21,A621,0.0,22.6,22.4
2023,2023-11-21,A621,0.0,22.5,21.9
2023,2023-11-21,A621,0.0,22.6,21.9
2023,2023-11-21,A621,0.0,28.5,26.9
2023,2023-11-21,A621,0.0,22.3,22.1
2023,2023-11-21,A621,0.0,22.4,22.1
2023,2023-11-21,A621,0.0,27.8,26.1
2023,2023-11-21,A621,0.0,24.8,23.6
2023,2023-11-21,A621,0.0,27.7,25.6
2023,2023-11-21,A621,0.0,23.6,22.8
2023,2023-11-21,A621,0.0,26.3,24.8
2023,2023-11-20,A621,2.0,22.8,22.0
2023,2023-11-20,A621,0.6,22.2,22.0
2023,2023-11-20,A621,0.0,22.5,22.0
2023,2023-11-20,A621,1.6,23.3,23.0
2023,2023-11-20,A621,0.8,23.5,23.0
2023,2023-11-20,A621,0.6,24.6,24.0
2023,2023-11-20,A621,0.4,24.0,23.5
2023,2023-11-20,A621,0.0,25.1,24.5
2023,2023-11-20,A621,0.0,24.9,24.5
2023,2023-11-20,A621,0.0,24.9,24.5
2023,2023-11-20,A621,0.0,24.5,23.2
2023,2023-11-20,A621,2.0,23.1,22.7
2023,2023-11-20,A621,1.4,22.9,22.7
2023,2023-11-20,A621,0.0,24.6,22.7
2023,2023-11-20,A621,0.4,23.2,22.7
2023,2023-11-20,A621,0.0,23.7,23.4
2023,2023-11-20,A621,0.4,23.4,22.9
2023,2023-11-20,A621,0.6,23.4,22.9
2023,2023-11-20,A621,0.0,22.5,22.1
2023,2023-11-20,A621,0.0,23.4,23.1
2023,2023-11-20,A621,0.2,22.8,22.6
2023,2023-11-20,A621,0.0,24.5,23.3
2023,2023-11-20,A621,0.0,23.5,23.3
2023,2023-11-20,A621,1.6,23.0,22.8
2023,2023-11-19,A621,0.0,30.7,29.9
2023,2023-11-19,A621,0.0,29.0,28.4
2023,2023-11-19,A621,0.0,28.5,27.6
2023,2023-11-19,A621,0.0,28.8,28.4
2023,2023-11-19,A621,0.0,29.5,28.7
2023,2023-11-19,A621,0.0,30.6,28.7
2023,2023-11-19,A621,0.0,28.7,28.3
2023,2023-11-19,A621,0.0,27.9,26.0
2023,2023-11-19,A621,0.0,27.6,27.0
2023,2023-11-19,A621,2.0,25.0,24.5
2023,2023-11-19,A621,0.0,27.2,26.5
2023,2023-11-19,A621,0.0,28.5,27.5
2023,2023-11-19,A621,0.0,27.9,27.5
2023,2023-11-19,A621,0.0,27.8,27.5
2023,2023-11-19,A621,0.6,23.8,23.7
2023,2023-11-19,A621,2.6,26.5,24.9
2023,2023-11-19,A621,4.4,23.7,23.1
2023,2023-11-19,A621,0.0,26.3,25.1
